record_origin,#,card_id,البنك (عربي),البنك (إنجليزي),نوع الكيان,اسم البطاقة,الشبكة,الفئة/المستوى,فئة الحساب,برنامج الولاء,نوع المكافأة,نوع المنتج,شريك فرسان؟,مستوى الثقة (calcTier),الرسوم السنوية (كما وردت),تصنيف الرسوم,أبرز المزايا/الملاحظات,مصدر البيانات,تاريخ آخر مراجعة,ملاحظة للفريق,chrome_exact_id_evidence,identity_status,bank_section,card_name,network,tier,account_segment,loyalty_program,reward_type,product_type,calc_tier,annual_fee,benefits,source,source_date,source_file,table_no,row_no
original_master,1,ALINMA-01,مصرف الإنماء,Alinma Bank,bank,البطاقة الائتمانية إنفينيت (Infinite),,Infinite,مميز,أكثر,نقاط,بطاقة ائتمانية,,estimated,300 ريال,مجاني مدى الحياة,راجع ورقة 'معدلات الاكتساب' لمعدل الاكتساب الكامل والتفاصيل.,CC Terms and Condition Form V4.pdf,2026-07-28,رسوم مؤكدة. ⚠ APR غير مذكور إطلاقًا لفئة Infinite بجدول APR الرسمي (تحقق مرتين) — فجوة حقيقية موثقة بالمصدر نفسه. لا بيانات اكتساب نقاط/أميال بهذا القسم.,"{""card_id"": ""ALINMA-01"", ""bank_section"": ""المصرف: **alinma bank / مصرف الإنماء**."", ""card_name"": ""alinma Infinite Credit Card"", ""network"": ""Visa"", ""tier"": ""Infinite"", ""account_segment"": ""حساب إنماء نشط؛ موافقة ائتمانية حسب متوسط الرصيد أو معلومات الراتب، وليست مشروطة صراحة بشريحة خاصة"", ""loyalty_program"": ""Akthr"", ""reward_type"": ""نقاط"", ""product_type"": ""ائتمانية دوّارة"", ""calc_tier"": ""precise"", ""annual_fee"": ""300 ر.س أساسًا؛ مجانية للبطاقة الأساسية والإضافية الأولى حتى 31-07-2026"", ""benefits"": ""6 محلي/7 دولي؛ تقسيط؛ صالات"", ""source"": ""[الصفحة الرسمية](https://www.alinma.com/en/Retail/Cards/Alinma-Credit-Card/Infinite)"", ""source_date"": ""2026-07-29"", ""source_file"": ""Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md"", ""table_no"": ""16"", ""row_no"": ""1""}",exact_id_linked,,,,,,,,,,,,,,,,
original_master,2,ALINMA-02,مصرف الإنماء,Alinma Bank,bank,البطاقة الائتمانية سيغنتشر (Signature),,Signature,مميز,أكثر,نقاط,بطاقة ائتمانية,,estimated,250 ريال,مجاني مدى الحياة,راجع ورقة 'معدلات الاكتساب' لمعدل الاكتساب الكامل والتفاصيل.,CC Terms and Condition Form V4.pdf,2026-07-28,"رسوم مؤكدة + APR 28.87% (حد 20,000 ريال). لا بيانات اكتساب.","{""card_id"": ""ALINMA-02"", ""bank_section"": ""المصرف: **alinma bank / مصرف الإنماء**."", ""card_name"": ""alinma Signature Credit Card"", ""network"": ""Visa"", ""tier"": ""Signature"", ""account_segment"": ""حساب نشط؛ موافقة ائتمانية حسب الرصيد/الراتب"", ""loyalty_program"": ""Akthr"", ""reward_type"": ""نقاط"", ""product_type"": ""ائتمانية دوّارة"", ""calc_tier"": ""precise"", ""annual_fee"": ""250 ر.س؛ مجانية للأساسية والإضافية الأولى حتى 31-07-2026"", ""benefits"": ""5 محلي/7 دولي؛ صالات وضمان ممتد"", ""source"": ""[دليل البطاقات](https://www.alinma.com/en/retail/cards)"", ""source_date"": ""2026-07-29"", ""source_file"": ""Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md"", ""table_no"": ""16"", ""row_no"": ""2""}",exact_id_linked,,,,,,,,,,,,,,,,
original_master,3,ALINMA-03,مصرف الإنماء,Alinma Bank,bank,البطاقة الائتمانية البلاتينية (Platinum),,Platinum,عادي,أكثر,نقاط,بطاقة ائتمانية,,estimated,100 ريال,مجاني مدى الحياة,راجع ورقة 'معدلات الاكتساب' لمعدل الاكتساب الكامل والتفاصيل.,CC Terms and Condition Form V4.pdf,2026-07-28,"رسوم مؤكدة + APR 28.15% (حد 10,000 ريال). لا بيانات اكتساب.","{""card_id"": ""ALINMA-03"", ""bank_section"": ""المصرف: **alinma bank / مصرف الإنماء**."", ""card_name"": ""alinma Platinum Credit Card"", ""network"": ""Visa"", ""tier"": ""Platinum"", ""account_segment"": ""حساب نشط؛ موافقة ائتمانية حسب الرصيد/الراتب"", ""loyalty_program"": ""Akthr"", ""reward_type"": ""نقاط"", ""product_type"": ""ائتمانية دوّارة"", ""calc_tier"": ""precise"", ""annual_fee"": ""100 ر.س؛ صفحة الرسوم تعرضها مجانية حتى 31-07-2026"", ""benefits"": ""4 محلي/6 دولي؛ صالات"", ""source"": ""[الصفحة الرسمية](https://www.alinma.com/en/Retail/Cards/alinma-Credit-Card/Platinum)"", ""source_date"": ""2026-07-29"", ""source_file"": ""Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md"", ""table_no"": ""16"", ""row_no"": ""3""}",exact_id_linked,,,,,,,,,,,,,,,,
original_master,4,ALINMA-04,مصرف الإنماء,Alinma Bank,bank,بطاقة الفرسان إنفينيت (AlFursan Infinite),Visa,Infinite,مميز,AlFursan Miles (السعودية),أميال,بطاقة ائتمانية,نعم,precise,"1,000 ريال (الرسوم السنوية/التجديد)",مبلغ محدد,راجع ورقة 'معدلات الاكتساب' لمعدل الاكتساب الكامل والتفاصيل.,BICC CARD_DB (مبني من مصادر متعددة، انظر ورقة سجل التعارضات),2026-07-28,"أُضيفت عبر بحث مباشر (WebFetch) على الموقع الرسمي بعد تعذّر وصول أداة كروم للموقع (2026-07-23). | إثراء: APR 42.80% (حد 10,000 ريال) — بيانات جديدة، لا تعارض مع precise الحالية.","{""card_id"": ""ALINMA-04"", ""bank_section"": ""المصرف: **alinma bank / مصرف الإنماء**."", ""card_name"": ""alinma AlFursan Infinite Credit Card"", ""network"": ""Visa"", ""tier"": ""Infinite"", ""account_segment"": ""حساب جارٍ نشط؛ خاضعة للسياسة الائتمانية"", ""loyalty_program"": ""AlFursan – Saudi Arabian Airlines"", ""reward_type"": ""أميال"", ""product_type"": ""ائتمانية دوّارة مشتركة"", ""calc_tier"": ""precise"", ""annual_fee"": ""1,000 ر.س تجديد/سنوي؛ إصدار 2,000 ر.س"", ""benefits"": ""45,000 ترحيبية؛ مكافآت شهرية وسنوية؛ صالات الفرسان"", ""source"": ""[الصفحة الرسمية](https://www.alinma.com/en/retail/cards/alfursan-credit-card/alfursaninfinitecard)"", ""source_date"": ""2026-07-29"", ""source_file"": ""Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md"", ""table_no"": ""16"", ""row_no"": ""4""}",exact_id_linked,,,,,,,,,,,,,,,,
original_master,5,ALINMA-05,مصرف الإنماء,Alinma Bank,bank,بطاقة الفرسان سيغنتشر (AlFursan Signature),Visa,Signature,مميز,AlFursan Miles (السعودية),أميال,بطاقة ائتمانية,نعم,precise,غير مذكور بالمصدر,غير متوفر على الموقع,راجع ورقة 'معدلات الاكتساب' لمعدل الاكتساب الكامل والتفاصيل.,BICC CARD_DB (مبني من مصادر متعددة، انظر ورقة سجل التعارضات),2026-07-28,"أُضيفت عبر بحث مباشر (WebFetch) على الموقع الرسمي بعد تعذّر وصول أداة كروم للموقع (2026-07-23). | إثراء: APR 51.15% (حد 20,000 ريال) — بيانات جديدة، لا تعارض.","{""card_id"": ""ALINMA-05"", ""bank_section"": ""المصرف: **alinma bank / مصرف الإنماء**."", ""card_name"": ""alinma AlFursan Signature Credit Card"", ""network"": ""Visa"", ""tier"": ""Signature"", ""account_segment"": ""حساب جارٍ نشط؛ خاضعة للسياسة الائتمانية"", ""loyalty_program"": ""AlFursan – Saudi Arabian Airlines"", ""reward_type"": ""أميال"", ""product_type"": ""ائتمانية دوّارة مشتركة"", ""calc_tier"": ""precise"", ""annual_fee"": ""500 ر.س تجديد/سنوي؛ إصدار 900 ر.س"", ""benefits"": ""25,000 ترحيبية؛ 5,500 شهرية وسنوية"", ""source"": ""[الصفحة الرسمية](https://www.alinma.com/en/Retail/Cards/Alfursan-Credit-Card/AlFursanSignatureCard)"", ""source_date"": ""2026-07-29"", ""source_file"": ""Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md"", ""table_no"": ""16"", ""row_no"": ""5""}",exact_id_linked,,,,,,,,,,,,,,,,
original_master,6,ALINMA-06,مصرف الإنماء,Alinma Bank,bank,بطاقة الفرسان البلاتينية (AlFursan Platinum),Visa,Platinum,عادي,AlFursan Miles (السعودية),أميال,بطاقة ائتمانية,نعم,precise,150 ريال (الرسوم السنوية/التجديد),مبلغ محدد,راجع ورقة 'معدلات الاكتساب' لمعدل الاكتساب الكامل والتفاصيل.,BICC CARD_DB (مبني من مصادر متعددة، انظر ورقة سجل التعارضات),2026-07-28,أُضيفت عبر بحث مباشر (WebFetch) على الموقع الرسمي بعد تعذّر وصول أداة كروم للموقع (2026-07-23). | إثراء رسوم فقط من مصدر جديد — لا تعارض.,"{""card_id"": ""ALINMA-06"", ""bank_section"": ""المصرف: **alinma bank / مصرف الإنماء**."", ""card_name"": ""alinma AlFursan Platinum Credit Card"", ""network"": ""Visa"", ""tier"": ""Platinum"", ""account_segment"": ""حساب جارٍ نشط؛ خاضعة للسياسة الائتمانية"", ""loyalty_program"": ""AlFursan – Saudi Arabian Airlines"", ""reward_type"": ""أميال"", ""product_type"": ""ائتمانية دوّارة مشتركة"", ""calc_tier"": ""precise"", ""annual_fee"": ""150 ر.س تجديد/سنوي؛ إصدار 300 ر.س؛ الإصدار مجاني ضمن عرض يوليو 2026"", ""benefits"": ""5,000 ترحيبية؛ 1,500 شهرية وسنوية"", ""source"": ""[الصفحة الرسمية](https://www.alinma.com/en/retail/cards/alfursan-credit-card/alfursanplatinumcard)"", ""source_date"": ""2026-07-29"", ""source_file"": ""Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md"", ""table_no"": ""16"", ""row_no"": ""6""}",exact_id_linked,,,,,,,,,,,,,,,,
original_master,7,ALINMA-07,مصرف الإنماء,Alinma Bank,bank,بطاقة Gold Charge Card,,Gold,عادي,أكثر,نقاط,بطاقة حسم شهري (Charge),,estimated,250 إصدار / 200 سنوية / 250 تجديد (أساسية),غير متوفر على الموقع,راجع ورقة 'معدلات الاكتساب' لمعدل الاكتساب الكامل والتفاصيل.,CC Terms and Condition Form V4.pdf,2026-07-28,⚠ الملف لا يفرّق بين Gold وClassic إطلاقًا (بحث كامل بالنص لم يجد الكلمتين) — نفس الجدول أُسند لكلا البطاقتين بتحفظ صريح. لا هامش ربح/APR مذكور (بطاقة حسم شهري، سداد كامل).,"{""card_id"": ""ALINMA-07"", ""bank_section"": ""المصرف: **alinma bank / مصرف الإنماء**."", ""card_name"": ""Travel akthr Infinite Credit Card"", ""network"": ""Visa"", ""tier"": ""Infinite"", ""account_segment"": ""حساب نشط؛ خاضعة للموافقة الائتمانية"", ""loyalty_program"": ""Akthr"", ""reward_type"": ""نقاط + استرداد نقدي"", ""product_type"": ""ائتمانية دوّارة"", ""calc_tier"": ""precise"", ""annual_fee"": ""900 ر.س"", ""benefits"": ""معدلات سفر مرتفعة؛ 50,000 ترحيبية؛ 10,000 شهرية"", ""source"": ""[الصفحة الرسمية](https://www.alinma.com/en/Retail/Cards/Travel-akthr-Credit-Cards/Travel-akthr-Infinite-Credit-Card)"", ""source_date"": ""2026-07-29"", ""source_file"": ""Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md"", ""table_no"": ""16"", ""row_no"": ""7""}",exact_id_linked,,,,,,,,,,,,,,,,
original_master,8,ALINMA-08,مصرف الإنماء,Alinma Bank,bank,بطاقة Classic Charge Card,,Classic,عادي,أكثر,نقاط,بطاقة حسم شهري (Charge),,estimated,250 إصدار / 200 سنوية / 250 تجديد (أساسية),غير متوفر على الموقع,راجع ورقة 'معدلات الاكتساب' لمعدل الاكتساب الكامل والتفاصيل.,CC Terms and Condition Form V4.pdf,2026-07-28,⚠ نفس تحفظ ALINMA-07 — لا تمايز موثق بين الفئتين بهذا المصدر.,"{""card_id"": ""ALINMA-08"", ""bank_section"": ""المصرف: **alinma bank / مصرف الإنماء**."", ""card_name"": ""Travel akthr Signature Credit Card"", ""network"": ""Visa"", ""tier"": ""Signature"", ""account_segment"": ""حساب نشط؛ خاضعة للموافقة الائتمانية"", ""loyalty_program"": ""Akthr"", ""reward_type"": ""نقاط + استرداد نقدي"", ""product_type"": ""ائتمانية دوّارة"", ""calc_tier"": ""precise"", ""annual_fee"": ""500 ر.س"", ""benefits"": ""20,000 ترحيبية؛ 5,000 شهرية؛ مزايا سفر"", ""source"": ""[الصفحة الرسمية](https://www.alinma.com/en/Retail/Cards/Travel-akthr-Credit-Cards/Travel-akthr-Signature-Credit-Card)"", ""source_date"": ""2026-07-29"", ""source_file"": ""Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md"", ""table_no"": ""16"", ""row_no"": ""8""}",exact_id_linked,,,,,,,,,,,,,,,,
original_master,9,ALINMA-09,مصرف الإنماء,Alinma Bank,bank,بطاقة الشراء (Purchase Card),Visa,غير محدد,,أكثر,نقاط,مسبقة الدفع (Prepaid),,unavailable,100 ريال (رسوم إصدار),مبلغ محدد,راجع ورقة 'معدلات الاكتساب' لمعدل الاكتساب الكامل والتفاصيل.,BICC CARD_DB (مبني من مصادر متعددة، انظر ورقة سجل التعارضات),2026-07-23,أُضيفت عبر بحث مباشر (WebFetch) على الموقع الرسمي بعد تعذّر وصول أداة كروم للموقع (2026-07-23).,"{""card_id"": ""ALINMA-09"", ""bank_section"": ""المصرف: **alinma bank / مصرف الإنماء**."", ""card_name"": ""Infinite Credit Card (Charge Card)"", ""network"": ""Visa"", ""tier"": ""Infinite"", ""account_segment"": ""حساب إنماء؛ لا يذكر شرط شريحة خاصة"", ""loyalty_program"": ""Akthr"", ""reward_type"": ""نقاط"", ""product_type"": ""حسم شهري/Charge"", ""calc_tier"": ""precise"", ""annual_fee"": ""200 ر.س؛ إصدار/تجديد 250 ر.س"", ""benefits"": ""سداد كامل؛ حد سحب 30%؛ صالات"", ""source"": ""[الصفحة الرسمية](https://www.alinma.com/en/Retail/Cards/Infinite-Charge-Card)"", ""source_date"": ""2026-07-29"", ""source_file"": ""Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md"", ""table_no"": ""16"", ""row_no"": ""9""}",exact_id_linked,,,,,,,,,,,,,,,,
original_master,10,ALINMA-10,مصرف الإنماء,Alinma Bank,bank,بطاقة UnionPay,UnionPay,غير محدد,,غير محدد,كاش باك,بطاقة ائتمانية,,unavailable,غير مذكور بالمصدر (يُحال لملف PDF منفصل للرسوم),غير متوفر على الموقع,راجع ورقة 'معدلات الاكتساب' لمعدل الاكتساب الكامل والتفاصيل.,BICC CARD_DB (مبني من مصادر متعددة، انظر ورقة سجل التعارضات),2026-07-23,أُضيفت عبر بحث مباشر (WebFetch) على الموقع الرسمي بعد تعذّر وصول أداة كروم للموقع (2026-07-23).,"{""card_id"": ""ALINMA-10"", ""bank_section"": ""المصرف: **alinma bank / مصرف الإنماء**."", ""card_name"": ""Signature Credit Card (Charge Card)"", ""network"": ""Visa"", ""tier"": ""Signature"", ""account_segment"": ""حساب إنماء؛ لا يذكر شرط شريحة خاصة"", ""loyalty_program"": ""Akthr؛ الصفحة القديمة تسميه Mazaya Alinma"", ""reward_type"": ""نقاط"", ""product_type"": ""حسم شهري/Charge"", ""calc_tier"": ""precise"", ""annual_fee"": ""200 ر.س؛ إصدار/تجديد 250 ر.س"", ""benefits"": ""2 محلي/3 دولي؛ صالات"", ""source"": ""[الصفحة الرسمية](https://www.alinma.com/en/Retail/Cards/Signature-Charge-Card)"", ""source_date"": ""2026-07-29"", ""source_file"": ""Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md"", ""table_no"": ""16"", ""row_no"": ""10""}",exact_id_linked,,,,,,,,,,,,,,,,
