link_id,entity,linked_document_title,url,linked_document_sha256_at_review,linked_document_metadata_date,linked_document_creator,classification,official_bank_document,stored_in_repository,reviewed_on,action
CC77-LINK-01,Al Rajhi Bank,استثناءات الراجحي,https://drive.google.com/file/d/1tcIjwM2oFxXAvpse5W48HhHXoPMj6gMc/view?usp=drivesdk,39d1ff2baec2df53972e7cb13985eb64ca47f8dd43ad02413edafc4dedd5f081,2025-06-21,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-02,Bank Aljazira,استثناءات الجزيرة,https://drive.google.com/file/d/1fdKONJpk7ZojQVeVBAGt4XRo1g3bjSvv/view?usp=drivesdk,1930ba10554ce57de6566c83f4bba0a435446d95acf9b3d1e258e24316ca067c,2025-07-15,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-03,Saudi National Bank,استثناءات الأهلي,https://drive.google.com/file/d/1MYNTNso_GQVJtftjq2kf__SyNxd9PzfX/view?usp=drivesdk,7d788151fc1f478e78528d824ca804d0c2bbe6cfd83f282fb51ce75200b6d854,2024-09-10,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-04,Arab National Bank,استثناءات العربي,https://drive.google.com/file/d/1bBwyZ3fb_ZYwgJyhu8dVjXnMziTGZxcR/view?usp=drivesdk,da8bed482da723502a7231f7fc845673c3953e97ea938c27f0be78cf5be1160c,2025-07-16,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-05,Riyad Bank,استثناءات الرياض,https://drive.google.com/file/d/14ESLpUBJfndpGJMd3dzJBGnx1DTMU1eX/view?usp=drivesdk,9769b0023086868bff8b4d5d2fe04a3e60cc751ff52c0bcd31250147f8ae6f40,2025-08-28,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-06,Emirates NBD KSA,استثناءات الإمارات دبي,https://drive.google.com/file/d/122PbouGh58BMyNrAp2tT3EjAzuJ-uV3y/view?usp=drivesdk,6f777f8ae636cd021060e26c2daee36a7913a31c63b3102e604451c326b0a748,2025-07-21,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-07,Banque Saudi Fransi,استثناءات الفرنسي,https://drive.google.com/file/d/1KZs-95qr9FajAgmQ5y8lvjeH-Yocz2Xv/view?usp=drivesdk,9223453a10d2a46c4108d2e6918162083704739dbcc1d6e5f148523e84f71371,2026-01-04,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-08,Bank Albilad,استثناءات البلاد,https://drive.google.com/file/d/1vygWqVxNIKc_Cuqk0ct7Pa_y2XxUaSkg/view?usp=drivesdk,db9ca2c8e5f7886ceb8f767d8c734bbb1f38b145f94c3a185a8ee309f5fd210c,2025-09-25,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-09,Alinma Bank,استثناءات الإنماء,https://drive.google.com/file/d/1LF--MpTMr9IXvGSykrYa9hx5v3BN-4aT/view?usp=drivesdk,800a91f1a7cf7aa7c7f56261cee5aeb7ea10e0d6321248fd539715b9d3b45b60,2024-09-10,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-10,Saudi Awwal Bank,استثناءات الأول,https://drive.google.com/file/d/1DEASEV4VoL9hoGk5nwuu33N57MYM8Q7h/view?usp=drivesdk,03ada62d56516b964e3d065089533cb4d5a4165275836658eb96e7923593a093,2025-07-14,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-11,Gulf International Bank Saudi Arabia (meem),استثناءات ميم,https://drive.google.com/file/d/1Z_FXQbqqH583GkY4lgf31npL_7YnrRRE/view?usp=drivesdk,da22b0f674a777c677f88ef61bb4c94a25faaeb395068fdfbec166f471f0ccf1,2026-04-23,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-12,American Express Saudi Arabia,استثناءات أميكس,https://drive.google.com/file/d/11QQj9pvVQZWCPLQl-md3_EbJa21NtF5l/view?usp=drivesdk,f1eba4ffad5acaaabca24d1fc1a9b000cfb31feb94e179a4a2da0f3dd3d8cd3b,2024-09-06,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
CC77-LINK-13,STC Bank,استثناءات STCBank,https://drive.google.com/file/d/1Rgnu2hKqgtFmPsMVJrQ8Fe5O0Vb-NRaF/view?usp=drivesdk,69bd54ec0641c974b936c3aa5af5e86dfbbdc1a2df109eef1ff97a7a1264261c,2026-04-03,Apple Numbers,secondary_unverified_social_summary,no,no,2026-08-18,Use only to locate and validate the applicable official rewards exclusion source.
