source_id,path,filename,extension,size_bytes,sha256,suspected_duplicate,duplicate_basis,bank_mapping,status,pages,encrypted,text_chars,text_sha256,error,sample
SRC-001,.github/workflows/monitor-bank-cards.yml,monitor-bank-cards.yml,.yml,3981,8f90eb122445a8543e5ab509f90aeaae739e1c6445680c837a762963625420bc,False,,Unmapped / multi-bank,repository file,,False,,,,
SRC-002,.github/workflows/validate-changed-bank.yml,validate-changed-bank.yml,.yml,897,afa18ae0679d340c1d5e953a02754e05bebe657e629f2d82200a0325305fec35,False,,Unmapped / multi-bank,repository file,,False,,,,
SRC-003,.gitignore,.gitignore,[none],111,26b21e06079461ad047aa196d5084e1f1c0ac5da3348a6eed40e0fc9d5a28cd1,False,,Unmapped / multi-bank,repository file,,False,,,,
SRC-004,AGENTS.md,AGENTS.md,.md,10705,563d3f78278ede86898042c8c53dd1e646afb506c4709750536ae3ae869e8b9d,False,,Unmapped / multi-bank,repository file,,False,,,,
SRC-005,Credit Cards Terms and Conditions/01. saudi-credit-cards-unified V3.xlsx,01. saudi-credit-cards-unified V3.xlsx,.xlsx,135252,643ad6a2857b6c871bc6524e6b9f0cff0440ffe677811845db0207c92b429e37,False,,Unmapped / multi-bank,readable,,False,243532,2214d152aa42fd1e9cc6cbba2676f3d4238b484da5fb829d5faeae129e3fbea1,,دليل الرموز الرمز | المعنى precise / دقيق | بيانات مدقَّقة بالكامل من مصدر أولي مباشر (PDF شروط وأحكام رسمي أو DOM حي) — تغطي كل الفئات، الرسوم، APR، البونص، المزايا estimated / تقديري | معدل عام محلي/دولي فقط مُستخرَج من صفحة المنتج — تقريب، بلا تفصيل فئوي كامل unavailable / غير متاح | لا رقم موثوق متاح — تظهر بالتصفح فقط، مُستبعدة من نتائج الحاسبة ⚠ تعارض | رقمان أو أكثر من مصادر رسمية مختلفة يتعارضان ولم يُحسم أيهما ساري — كلاهما مذكور، لا يُختار أحدهما بصمت [غير مؤكد] | مصدر واحد فقط، أو است
SRC-006,Credit Cards Terms and Conditions/02. Xlsx audit master reference 2026 07 29.md,02. Xlsx audit master reference 2026 07 29.md,.md,12516,7f3581e1bdd53d839258bc738a3dd56b07fe52037cdedbbab637a7a3ebada324,False,,Unmapped / multi-bank,readable,,False,8216,1e19cbcfdbd09cd0e71327555216f087e3b2922a25f545dd084106c85f5ad554,,# تدقيق ملف بطاقات الائتمان الموحَّد (Excel) — الملف المرجعي الرئيسي **آخر تحديث:** 2026-07-29 · **الغرض:** أي جلسة Claude تعمل على تدقيق/تحديث ملف `saudi-credit-cards-unified V3.xlsx` تقرأ **هذا الملف أولاً** فقط، بدل فتح كل ملفات PDF/docx المصدر أو كل مستندات المشروع الأخرى من جديد. المستندات الأخرى (تدقيقات بنك ببنك) تبقى أرشيفًا للتفاصيل الحرفية عند الحاجة فقط. ## ⚠ قاعدة نطاق ثابتة — لا تُخالَف هذا المسار **منفصل كليًا** عن أي عمل يخص `index.html` أو مستودع BICC على GitHub أو أداة المقارن
SRC-007,Credit Cards Terms and Conditions/03. Cards information from Claude Chrome prompt V4.md,03. Cards information from Claude Chrome prompt V4.md,.md,202472,3ac265484433b3f13eab5533ada93007aa4c4a109083b422443898f2478be889,False,,Unmapped / multi-bank,readable,,False,144596,1413fb6f4e73d0e35d7cc1409833f707fbcd8beba0a0e7056bb17680419a3b08,,"البنك الأهلي السعودي : تاريخ جمع البيانات: 29/7/2026. المصدر الأساسي: النسخة الإنجليزية لموقع البنك الأهلي السعودي (alahli.com/en)، مع الرجوع لملف PDF الرسمي ""Terms & Conditions"" لبطاقات الائتمان (42 صفحة) لاستخراج الرسوم/APR بدقة، وتم التحقق من محاذاة كل جدول عبر قراءة إحداثيات x/y الفعلية للنص داخل ملف الـPDF (وليس النص الخطي المُسطَّح فقط) تفاديًا لخطأ محاذاة الأعمدة، وكذلك عبر قراءة خلايا جداول HTML الفعلية (table.rows/cells) في صفحات الموقع بدل النص المُسطَّح. نموذج الاكتساب العام لهذا ا"
SRC-008,Credit Cards Terms and Conditions/AJB Credit-Card-Terms-And-Conditions.pdf,AJB Credit-Card-Terms-And-Conditions.pdf,.pdf,194825,e30494dd2cd2eb871a2c869a49d8ed48109f98f327ba3e94476b823c1949e8dc,False,,Bank Aljazira,readable,13,False,86796,143500ec57a5131cb478ef8f6a914af148c243924d14087e729d02962e1a888b,,) تعريفات 1 العميــل هــو الشــخص الــذي يتقــدم بطلــب البطاقــة ويكــون حامــل 1-1 البطاقــة الرئيســية، كمــا أنــه الشــخص المســؤول ائتمانيــاً عــن جميــع المبالــغ الماليــة المســتحقة والمترتبــة علــى اســتخدام وإصــدار البطاقــة الرئيســية والبطاقــات الإضافيــة. حامــل البطاقــة هــو الشــخص الــذي تصــدر البطاقــة باســمه، ومصطلــح 2-1 حامــل البطاقــة يشــمل العميــل حامــل البطاقــة الرئيســية كمــا يشــمل حاملــي البطاقــات الإضافيــة. العمليــة الدوليــة: هــي أي عمليــة تت
SRC-009,Credit Cards Terms and Conditions/ALBILAD 1-15-D002-E شروط وأحكام طلب بطاقة مداد متعددة العملات v2.pdf,ALBILAD 1-15-D002-E شروط وأحكام طلب بطاقة مداد متعددة العملات v2.pdf,.pdf,184445,ed268f660e7749a0eaee8c74b946be1b60ef48199d99b32fdf646ebab4ae62ba,False,,Bank Albilad,readable,2,False,13609,f36226eb3825545f6025eda34475494dfd9230c8e735771d313d28be999f9a9c,,"Terms and Conditions Medad Multi-currency Application Form Terms and Conditions Medad Multi-currency Application Fees: The applicant vows (customer) to pay all the fees or costs of issuing or renewing the card, and he authorizes the bank to ded uct these fees automatically from his current account or from the account of the customer. As shown in I hereby declare that bank is able to classify the account stats for cards as shown below : ✓ Active Account :it would be classified as act"
SRC-010,Credit Cards Terms and Conditions/ALBILAD Bank Albilad Medad Card Application English2023.pdf,ALBILAD Bank Albilad Medad Card Application English2023.pdf,.pdf,441123,da0f85a43f68620df08dec756e95beb67c576e80845eecde4eeb5640f320bba5,False,,Bank Albilad,readable,6,False,20415,933fd5cee237436ee6e087c8b104d69995caf278196d6a32d4df918609d49cf9,,"FORM NO. 1-1-B083 Bank Albilad is a Saudi Joint Stock Company, with National Unified No.7001473102, Head Office: Al Mutamarat 8229, Building No 2 ,RIYADH 3952 - 12711 ,KSA. Under monitoring and supervision of Saudi Central Bank authority and licensed by Royal decree 48/M on 21/9/1425H (4/11/2004 G), Medad Application Form With VAT registration No. 300000712300003 Branch name: …………………………… Branch No.: …………………………… Date: ………/………./……………... Have Current Account? Yes No Preferable D"
